judul,penerbit,tahun_terbit,tempat_terbit,pengarang,tipe_koleksi,prediksi
Ensiklopedia Muhammad : Muhammad Sebagai Suami dan Ayah,Pelangi Mizan,2015,Bandung,Afzalur Rahman,agama,agama
Ensiklopedia Tokoh Muslim : potret perjalanan hidup muslim terkemuka dari zaman klasik hingga kontemporer,Salemba Empat,2010,Jakarta,Suhartono RudyIlyas Wirawan B,agama,agama
Fikih Wanita: panduan ibadah wanita lengkap & praktis,Dian Rakyat,2006,Jakarta,Rosmanto,agama,kebidanan
Goresan Penaku : Oase di Tengah Teriknya Sahara Kehidupan,Politeknik Harapan Bersama Tegal,2020,Tegal,Miftakhul Huda M KomAhmad Maulana S KomIlham M YusufMoh  Syaeful AnamSusilo Budi Utomo,agama,laporan pkm
Gue Cinta Rasul,Politeknik Harapan Bersama Tegal,2017,Tegal,Indrawati Gina PujiKhuriyah KhikmatulIrawan Pudja Harjana STIda Afriliana ST M Kom,agama,mesin
Hakekat Takut dan Harapan,Komunitas Sastrawan Tegalan,2019,Tegal,Setiawan Lanang,agama,textbook
Inilah Alasan Rasullah SAW Menganjurkan Puasa Sunah,Politeknik Harapan Bersama Tegal,2014,Tegal,Ady Ragil Sapto,agama,laporan kp
Install Ulang Sholatmu,Politeknik Harapan Bersama Tegal,2018,Tegal,Arfan Haqiqi Sulasmoro M KomChomarulloh Moh IchamRamadhani Aji Nur Zahrun,agama,manajemen & bisnis
ISLAM,POM,2008,Jakarta,POM,agama,referensi
"Kalau Udah Cocok, Lanjutin Aja! : kriteria cowok shalih yang layak jadi imammu",Politeknik Harapan Bersama Tegal,2018,Tegal,Much  Sobri Sungkar M KomMuh  Nana Aviciena S PdBarokah Amin,agama,manajemen & bisnis
Business A Changing World Ninth Edition,McGraw Hill,2011,New York,O C  FerrellHirt Geoffrey A Ferrell Linda,akuntansi,manajemen & bisnis
Business Economics And Managerial Decision Making : aplikasi teori ekonomi dan pengambilan keputusan manajerial dalam dunia bisnis,McGraw-Hill,2014,New York,Hirt Geoffrey A Ferrell LindaO C Ferrell,akuntansi,manajemen & bisnis
Business Research Methods Twelfth Edition,PT Remaja Rosdakarya,2017,Jakarta,Yudi Pramudiana,akuntansi,akuntansi
Cara Mudah Belajar Akuntansi Edisi 2 Buku 1,Politeknik Harapan Bersama Tegal,2018,Tegal,Eko Budihartono ST M KomShintia Aristia AnggiaGunandi Akhmad Syafi'iSyarifudin Dayu Alif,akuntansi,mesin
Cara Mudah Membuat Pembukuan Sederhana,Elex Media Komputindo,2018,Jakarta,Ismayani Ani,akuntansi,komputer
Cara mudah menghitung pajak penghasilan anda,PT. Grasindo,2017,Jakarta,Hery,akuntansi,akuntansi
Cata mudah Menghitung PPh Badan dengan Undang-Undang,Karisma Publishing Group,2012,Jakarta,Toy Eugene C ,akuntansi,referensi
Ciptakan Mesin Uangmu: step by step memulai bisnismu sendiri,Media Pressindo,2012,Yogyakarta,Maya Sophie,akuntansi,fiksi
Computer Accounting With Quickbooks 2011,Graha Ilmu,2013,Yogyakarta,Hendriati Lucia,akuntansi,informatika
Consumer Behavior : building marketing strategy (Twelfth Edition),Cakrawala Ilmu,2018,Jakarta,Imam Baehaqi,akuntansi,manajemen & bisnis
Sehari mahir berbahasa Jepang,Penerbit ITB,2015,Bandung,Agoes Goeswin,textbook,kesehatan
Sehari mahir berbahasa Jerman,Pustaka Pelajar,2013,Yogyakarta,Fudholi AchmadHadisoewignyo Lannie,textbook,umum
Simple fun and easy : Percakapan Bahasa Korea,Elex Media Komputindo,2013,Jakarta,Aditya Salman,textbook,textbook
Simple fun and easy : Percakapan Bahasa Mandarin,PT. Gramedia Pustaka Utama,2007,Jakarta,Kartajaya Hermawan,textbook,referensi
Smart and simple memahami tenses,Politeknik Harapan bersama,2021,Tegal,apt  Rizki Febriyanti M FarmWilda Amananti S Pd  M SiAmalia Nur Hidayah,textbook,perhotelan
Sosiolinguistik dalam pengajaran bahasa berbasis multikultural: teori dan praktik penelitian,Politeknik Harapan Bersama Tegal,2016,Tegal,Kartiko MuhammadM  WiyugoMurniati SriAmaliani Syifa Novia,textbook,informatika
Ayah ... : kisah Buya Hamka,Arcan,2006,Jakarta,Gomez Joan,textbook,fiksi
BJ Habibie,Erlangga,2007,Jakarta,Griffin Ricky W Ebert Ronald J ,textbook,akuntansi
Cerita Azra,Kanisius,2011,Yogyakarta,Wijoyo Yosef,textbook,referensi
Harus Bisa ! Seni Memimpin Ala SBY,Komunitas Sastrawan Tegaan,2019,Tegal,Setiawan Lanang,textbook,textbook
Kelistrikan Industri,Politeknik Harapan Bersama Tegal,2019,Tegal,Aldi Budi Riyanta S Si MTAnggy Rima Putri M Farm AptKhasanah Mamnun,elektronika,laporan pkm
Kendali Sistem Tenaga Listrik dengan Matlab,Rapha Publishing,2016,Yogyakarta,Riksani Ria,elektronika,elektronika
Keterampilan Kejuruan Teknik Elektronika,Pustaka Baru Press,2019,Yogyakarta,Fitriana YuniAndriyani Ari,elektronika,elektronika
Keterampilan Kejuruan Teknik Listrik,Trans Info Media,2014,Jakarta,Elmeida Ika FitriaFirdaus Siska,elektronika,kebidanan
Komunikasi Elektronika,salemba Medika,2009,Jakarta,Yulifah RitaYuswanto Tri Johan Agus,elektronika,kebidanan
Komunikasi Elektronika Ed.3 Jil.2,Nuha Medika,2009,Yogyakarta,Wulandari Diah,elektronika,farmasi
Konsep Dasar Teknik Elektronika kelistrikan,Parama Ilmu,2017,Jakarta,Ngalimun,elektronika,elektronika
Listrik Magnet Penyelesaian Soal-soal,maxikom,2005,Palembang,Chandra,elektronika,teknik
Medan Elektromagnetik : teori dan contoh soal,Maxicom,2004,Palembang,Alkaff M Firdaus,elektronika,komputer
Medan elektromagnetika,Andi,2017,Yogyakarta,R H  Sianipar,elektronika,informatika
Dasar-dasar Mikrobiologi Makanan di Bidang Gizi & Kesehatan,PT. Grasindo,2009,Jakarta,Sugiono AriefPambudi Rilo,farmasi,kesehatan
Dasar-dasar Pengobatan Cina,BPFE,2011,Yogyakarta,Riyanto Bambang,farmasi,kesehatan
Desain Molekul BIOGETIKAHP : Obat Khasiat Ganda sebagai Antibiotika dan Analgetika,Politeknik Harapan Bersama Tegal,2018,Tegal,M Taufik Qurrohman M PdAndre Budhi Hendrawan STRasyid H Abdurrahman,farmasi,laporan pkm
Disolusi & Pelepasan Obat in Vitro,Pyramedia,2010,Yogyakarta,Alifah Umi,farmasi,farmasi
DOI Data Obat di Indonesia,Andi,2016,Yogyakarta,Utomo Eko Priyo,farmasi,informatika
Drug Formulation Manual,Pakar Raya,2004,Bandung,The Math Forum,farmasi,textbook
Drug Interaction Facts (Fifth Edition),Diva Press,2017,Yogyakarta,Kuswanto Redy,farmasi,textbook
Enkapsulasi Farmasetik (SFI-5),Kencana,2013,Jakarta,Muhammad Yaumi,farmasi,manajemen & bisnis
Ensiklopedi Tanaman Obat Indonesia,Penerbit ITB,2010,Bandung,Agoes Goeswin,farmasi,farmasi
Esensial Antibiotik,Politeknik Harapan Bersama Tegal,2017,Tegal,Setiawan AjiMohammad Humam M KomRamadhani  GaluhAris WinarsoS Kom,farmasi,laporan kp
Membaca Metafora : antologi cerita pendek pelajar SLTA Kota Tegal,Elex Media Komputindo,2003,Jakarta,Chandra Ian K,fiksi,komputer
Mencarimu,CV. Trans  Info Media,2010,Jakarta,Tamher Sayuti,fiksi,kebidanan
Menemani Setiap Detik Rasa Sepi,Politeknik Harapan Bersama Tegal,2017,Tegal,Yerry Febrian S M KomSalsabila Nova Aulia,fiksi,laporan kkl
Menjadi Ibu itu Seruu!!,Elex Media Komputindo,2004,Jakarta,Rafiudin Rahmat,fiksi,komputer
My Princess,Andi,2009,Yogyakarta,PurwantoHeri,fiksi,fiksi
"Negeri 5 menara  man jadda wajada""""",Elex Media Komputindo,2005,Jakarta,Alam M Agus J,fiksi,informatika
Nembak itu seru !!,Diva Press,2007,Yogyakarta,Noer Anfika,fiksi,textbook
"Notes to You : she loves him, he loves her not",Komunitas Sastrawan Tegalan,2019,Tegal,Setiawan Lanang,fiksi,textbook
Painful Love,Politeknik Harapan Bersama Tegal,2017,Tegal,Albani Naufal HanifWahyudin Bakti NurRijaluddin Mohammad RizkiAstriyani Winda Komala,fiksi,laporan kp
Parfum Langit Ketujuh : antologi cerita pendek cerpenis Kota Tegal,Politeknik Harapan Bersama Tegal,2013,Tegal,Mulyadi,fiksi,laporan kp
"Java : teori, algoritma, dan aplikasi",Politeknik Harapan Bersama Tegal,2017,Tegal,Mughny MohamadFattah TajuddinM  Teguh Prihandoyo M KomNurohim S T M Kom,informatika,informatika
Java 2 SE dengan JBuilder,Informatika bandung,2013,Bandung,R H Sianipar,informatika,informatika
Java di Web,Andi,2013,Yogyakarta,Sianipar,informatika,informatika
Java for Mobile Programming,Elex Media Komputindo,2003,Jakarta,Hartanto Aditya Antonius,informatika,komputer
Java script untuk membangun website profesional,Andi,2012,Yogyakarta,Prabawati th Arie,informatika,komputer
Java untuk Kriptografi,Informatika,2011,Bandung,Sidik Betha,informatika,informatika
jQuery: belajar dari studi kasus,Media Kita,2008,Jakarta,Oneto ErimaSudarman  S,informatika,informatika
Kecerdasan Buatan,EGC,2015,Jakarta,Medforth  Janet,informatika,kebidanan
